Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ZIAGEN,49702-0221-18,300 mg/1,"TABLET, FILM COATED",ORAL,NDA020977,ViiV Healthcare Company,49702-221,abacavir sulfate,ABACAVIR SULFATE,HUMAN PRESCRIPTION DRUG,12/29/1998,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (49702-221-18)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
ZIAGEN,49702-0222-48,20 mg/mL,SOLUTION,ORAL,NDA020978,ViiV Healthcare Company,49702-222,abacavir sulfate,ABACAVIR SULFATE,HUMAN PRESCRIPTION DRUG,1/28/1999,N/A,NDA,1 BOTTLE in 1 CARTON (49702-222-48)  > 240 mL in 1 BOTTLE,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
Emtriva,70518-1847-00,200 mg/1,CAPSULE,ORAL,NDA021500,REMEDYREPACK INC.,70518-1847,EMTRICITABINE,EMTRICITABINE,HUMAN PRESCRIPTION DRUG,2/4/2019,N/A,NDA,4 CAPSULE in 1 BLISTER PACK (70518-1847-0),"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Emtriva,61958-0602-01,10 mg/mL,SOLUTION,ORAL,NDA021896,"Gilead Sciences, Inc.",61958-0602,EMTRICITABINE,EMTRICITABINE,HUMAN PRESCRIPTION DRUG,9/28/2005,N/A,NDA,"1 BOTTLE, DISPENSING in 1 CARTON (61958-0602-1)  > 170 mL in 1 BOTTLE, DISPENSING","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Emtriva,61958-0601-01,200 mg/1,CAPSULE,ORAL,NDA021500,"Gilead Sciences, Inc.",61958-0601,EMTRICITABINE,EMTRICITABINE,HUMAN PRESCRIPTION DRUG,7/2/2003,N/A,NDA,"30 CAPSULE in 1 BOTTLE, PLASTIC (61958-0601-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
EPIVIR,00173-0662-00,100 mg/1,"TABLET, FILM COATED",ORAL,NDA021003,GlaxoSmithKline LLC,0173-0662,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,12/17/1998,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0173-0662-00)","Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
EPIVIR,00173-0663-00,5 mg/mL,SOLUTION,ORAL,NDA021004,GlaxoSmithKline LLC,0173-0663,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,12/23/1998,N/A,NDA,240 mL in 1 BOTTLE (0173-0663-00),"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
EPIVIR,49702-0205-48,10 mg/mL,SOLUTION,ORAL,NDA020596,ViiV Healthcare Company,49702-205,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,10/4/2010,N/A,NDA,240 mL in 1 BOTTLE (49702-205-48),"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
EPIVIR,49702-0203-18,150 mg/1,"TABLET, FILM COATED",ORAL,NDA020564,ViiV Healthcare Company,49702-203,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,10/4/2010,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (49702-203-18)","Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
EPIVIR,49702-0204-13,300 mg/1,"TABLET, FILM COATED",ORAL,NDA020564,ViiV Healthcare Company,49702-204,lamivudine,LAMIVUDINE,HUMAN PRESCRIPTION DRUG,10/4/2010,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (49702-204-13)","Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,61958-0404-01,150 mg/1,"TABLET, COATED",ORAL,NDA021356,"Gilead Sciences, Inc.",61958-0404,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,1/18/2012,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (61958-0404-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,61958-0405-01,200 mg/1,"TABLET, COATED",ORAL,NDA021356,"Gilead Sciences, Inc.",61958-0405,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,1/18/2012,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (61958-0405-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
Viread,50090-0754-00,300 mg/1,"TABLET, COATED",ORAL,NDA021356,A-S Medication Solutions,50090-0754,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,10/26/2001,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (50090-0754-0)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2021
Viread,61958-0406-01,250 mg/1,"TABLET, COATED",ORAL,NDA021356,"Gilead Sciences, Inc.",61958-0406,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,HUMAN PRESCRIPTION DRUG,1/18/2012,N/A,NDA,"30 TABLET, COATED in 1 BOTTLE, PLASTIC (61958-0406-1)","Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleosides [CS], Nucleoside Reverse Transcriptase Inhibitors [MoA]",N/A,No,12/31/2020
